YBR261C YCL028W
YBR261C YCR007C
YBR261C YNL239W
YBR261C YHR112C
YBR261C YJL151C
YBR080C YPL070W
YBR080C YIL046W
YBR080C YJL030W
YBR080C YNL189W
YLR245C YPL070W
YLR245C YOL111C
YLR245C YNL189W
YLR245C YBR111C
YBR233W YDR473C
YBR233W YIL079C
YBR233W YKL074C
YBR233W YDR116C
YBR233W YGL122C
YBR233W YNL075W
YOR095C YNL189W
YOR095C YOR160W
YHL018W YPL070W
YHL018W YOL054W
YHL018W YMR111C
YHL018W YDL125C
YHL018W YNL113W
YOR284W YOL034W
YOR284W YGR261C
YOR284W YJL025W
YOR284W YCR088W
YOR284W YDR212W
YOR284W YLR227C
YOR284W YML064C
YOR284W YNL286W
YCL028W YPL070W
YCL028W YGR142W
YCL028W YOL111C
YCL028W YNL189W
YCL028W YCR060W
YCL028W YHR034C
YCL028W YKL040C
YCL028W YML051W
YCL028W YOL123W
YCL028W YOR007C
YLR345W YBR244W
YLR345W YIR015W
YLR345W YIR037W
YLR345W YJL155C
YLR345W YLR257W
YLR345W YLR321C
YLR345W YGR158C
YNL229C YDR473C
YNL229C YIL153W
YNL229C YKR034W
YNL229C YLR389C
YNL229C YMR314W
YNL229C YOL034W
YNL229C YPL070W
YDR416W YGR129W
YDR416W YGR195W
YDR416W YHR184W
YDR416W YJR050W
YDR416W YKL098W
YDR532C YFR008W
YDR532C YIL144W
YDR448W YAL036C
YDR448W YCR083W
YDR448W YDR045C
YDR448W YDR171W
YDR448W YER018C
YDR448W YGR142W
YDR448W YGR195W
YDR448W YGR261C
YDR448W YHR022C
YDR448W YJL011C
YDR448W YLR424W
YDR448W YML041C
YDR448W YMR314W
YDR448W YPL077C
YDR448W YPL122C
YDR448W YPL135W
YDR448W YPR173C
YDR477W YGL208W
YNL153C YHR113W
YPL149W YLR098C
YPL149W YIL033C
YPL149W YMR159C
YGR120C YIL144W
YGR120C YOR158W
YGR120C YPL077C
YGR120C YEL051W
YGR120C YNL086W
YGR120C YER157W
YGR120C YGR082W
YGR120C YPR191W
YBR057C YJL025W
YBR057C YER018C
YBR057C YPL135W
YBR057C YGL036W
YBR057C YJL085W
YBR103W YPL173W
YBR103W YGR262C
YBR103W YMR061W
YCR086W YBR244W
YCR086W YKR034W
YCR086W YCR083W
YCR086W YOR264W
YCR086W YER086W
YCR086W YER144C
YCR086W YJL110C
YCR086W YDR439W
YCR086W YER106W
YCR086W YKR010C
YCR086W YKR068C
YCR086W YNL311C
YDR480W YNL189W
YDR480W YPL049C
YDR480W YCL066W
YDR480W YDL189W
YDR480W YHR084W
YDR480W YGR040W
YDR480W YHR121W
YDL057W YPL049C
YDL057W YLR098C
YER052C YNL135C
YPL049C YPL070W
YPL049C YDL239C
YPL049C YGL181W
YPL049C YNL189W
YPL049C YCL066W
YPL049C YDL189W
YPL049C YDR212W
YPL049C YDR296W
YPL049C YER180C
YPL049C YGR040W
YPL049C YGR268C
YPL049C YHR121W
YPL049C YML064C
YPL049C YNL135C
YPL049C YPL031C
YPL049C YHR084W
YPL049C YPR017C
YPL049C YPR082C
YPR173C YLR181C
YPR173C YER128W
YDR520C YKR034W
YDR520C YDL239C
YDR520C YGR261C
YDR520C YJL110C
YDR520C YOL116W
YMR111C YJL025W
YMR111C YDR510W
YMR111C YDL013W
YMR111C YGL250W
YMR111C YHL039W
YOR353C YHR102W
YKR034W YAL046C
YKR034W YDL239C
YKR034W YDR063W
YKR034W YFL017W-A
YKR034W YGR047C
YKR034W YGR195W
YKR034W YGR247W
YKR034W YNL021W
YKR034W YLR132C
YKR034W YLR424W
YKR034W YMR308C
YKR034W YOL054W
YKR034W YOL145C
YLR438C-A YBL026W
YLR438C-A YDR378C
YLR438C-A YER112W
YLR438C-A YER146W
YLR438C-A YJL124C
YLR438C-A YJR022W
YLR438C-A YNL147W
YLR438C-A YOR159C
YKL103C YDL239C
YKL103C YLR385C
YKL103C YOL145C
YKL103C YBL037W
YKL103C YCL033C
YKL103C YGL156W
YKL103C YHR113W
YKL103C YMR218C
YKL103C YNL107W
YKL103C YOR136W
YKL103C YPR049C
YOL083W YDR171W
YOL083W YGL156W
YOL083W YBL078C
YOL083W YCR027C
YOL083W YMR289W
YDR032C YBR052C
YDR032C YCR004C
YHR113W YFL017W-A
YHR113W YMR308C
YHR113W YBR107C
YHR113W YDR518W
YHR113W YOL082W
YHR113W YJL030W
YHR113W YLR021W
YHR113W YNL189W
YHR113W YNL222W
YHR113W YPL129W
YHR113W YPL201C
YPL070W YLR321C
YPL070W YOL034W
YPL070W YBR111C
YPL070W YDL239C
YPL070W YKL151C
YPL070W YGL037C
YPL070W YHR111W
YPL070W YDR256C
YPL070W YJL218W
YPL070W YNL044W
YPL070W YHR129C
YPL070W YML042W
YPL070W YER086W
YPL070W YPL088W
YPL070W YMR095C
YPL070W YHR068W
YPL070W YPR193C
YPL070W YML035C
YPL070W YFL059W
YER125W YBR182C
YER125W YJL025W
YER125W YCR009C
YER125W YDR296W
YER125W YGR268C
YER125W YHR131C
YER125W YLR392C
YER125W YMR257C
