YAL005C YGL200C
YAL005C YGL212W
YAL005C YGL225W
YAL005C YGL227W
YAL005C YGL233W
YAL005C YGR012W
YAL005C YGR016W
YAL005C YGR028W
YAL005C YGR038W
YAL005C YGR055W
YAL005C YGR060W
YAL005C YGR105W
YAL005C YGR106C
YAL005C YGR143W
YAL005C YGR147C
YAL005C YGR167W
YAL005C YGR174C
YAL005C YGR227W
YAL005C YGR234W
YAL005C YGR281W
YAL005C YGR284C
YAL005C YHL002W
YAL005C YHL035C
YAL005C YHR001W-A
YAL005C YHR039C
YAL005C YHR042W
YAL005C YHR063C
YAL005C YHR094C
YAL005C YHR101C
YAL005C YHR108W
YAL005C YHR117W
YAL005C YHR120W
YAL005C YHR133C
YAL005C YHR195W
YAL005C YIL013C
YAL005C YIL014W
YAL005C YIL017C
YAL005C YIL109C
YAL005C YIL124W
YAL005C YIL136W
YAL005C YIL146C
YAL005C YIL151C
YAL005C YIR033W
YAL005C YJL034W
YAL005C YJL041W
YAL005C YJL070C
YAL005C YJL093C
YAL005C YJL151C
YAL005C YJL178C
YAL005C YJL183W
YAL005C YJL196C
YAL005C YJL198W
YAL005C YJL208C
YAL005C YJL212C
YAL005C YJR075W
YAL005C YJR095W
YAL005C YKL020C
YAL005C YKL046C
YAL005C YKL077W
YAL005C YKL120W
YAL005C YKL129C
YAL005C YKL195W
YAL005C YKL209C
YAL005C YKR105C
YAL005C YLL006W
YAL005C YLL012W
YAL005C YLL015W
YAL005C YLL048C
YAL005C YLR004C
YAL005C YLR064W
YAL005C YLR084C
YAL005C YLR093C
YAL005C YLR110C
YAL005C YLR139C
YAL005C YLR166C
YAL005C YLR191W
YAL005C YLR241W
YAL005C YLR343W
YAL005C YLR348C
YAL005C YLR350W
YAL005C YLR372W
YAL005C YLR373C
YAL005C YLR382C
YAL005C YLR386W
YAL005C YLR393W
YAL005C YLR404W
YAL005C YLR413W
YAL005C YML002W
YAL005C YML008C
YAL005C YML013W
YAL005C YML038C
YAL005C YML048W
YAL005C YML055W
YAL005C YML097C
YAL005C YML104C
YAL005C YML120C
YAL005C YMR109W
YAL005C YMR122W-A
YAL005C YMR123W
YAL005C YMR129W
YAL005C YMR149W
YAL005C YMR207C
YAL005C YMR218C
YAL005C YMR238W
YAL005C YMR264W
YAL005C YMR306W
YAL005C YNL008C
YAL005C YNL064C
YAL005C YNL087W
YAL005C YNL121C
YAL005C YNL125C
YAL005C YNL181W
YAL005C YNL190W
YAL005C YNL257C
YAL005C YNL264C
YAL005C YNL268W
YAL005C YNR001C
YAL005C YNR013C
YAL005C YNR026C
YAL005C YNR048W
YAL005C YNR070W
YAL005C YNR075W
YAL005C YOL013C
YAL005C YOL044W
YAL005C YOL075C
YAL005C YOL096C
YAL005C YOL109W
YAL005C YOR021C
YAL005C YOR037W
YAL005C YOR086C
YAL005C YOR106W
YAL005C YOR142W
YAL005C YOR147W
YAL005C YOR153W
YAL005C YOR254C
YAL005C YOR256C
YAL005C YOR273C
YAL005C YOR297C
YAL005C YOR311C
YAL005C YOR328W
YAL005C YPL010W
YAL005C YPL019C
YAL005C YPL050C
YAL005C YPL053C
YAL005C YPL058C
YAL005C YPL060W
YAL005C YPL084W
